alumno,espanol,matematicas
2428,"CON AYUDA ENCUENTRA ALGUNAS RIMAS, NARRA BREVEMENTE UNA HISTORIA RECORDANDO A LOS PERSONAJES QUE ESCUCHO EN LA LECTURA Y COMENTA LAS ACCIONES QUE REALIZARON Y QUE LE SON FAMILIARES","MENCIONA POR PERCEPCIÛN LA CANTIDAD DE OBJETOS (CUANDO LA CANTIDAD ES MENOR A 10), Y LO CORROBORA CONTANDO LOS ELEMENTOS DE LA COLECCIÛN."
2429,EXPRESA CON EFICACIA SUS IDEAS ACERCA DE DIVERSOS TEMAS Y ATIENDE LO QUE SE DICE EN INTERACCIONES CON OTRAS PERSONAS.,"COMPARA, IGUALA Y CLASIFICA COLECCIONES CON BASE EN LA CANTIDAD DE ELEMENTOS."
2430,"CONOCE ALGUNA INFORMACI”N  PERO NO TAN PRECISA SOBRE SÕ MISMO, FAMILIA Y LUGAR DONDE VIVE.","COMIENZA A HACER USO DE LAS ESTRATEGIAS DE CONTEO, ORGANIZAR EN FILA, ORGANIZAR ELEMENTOS Y DESPLAZAR CONTANDO"
2431,"TIENE UN BUEN NIVEL DE COMUNICACIÛN VERBAL PERO LE CUESTA  EXPRESAR PENSAMIENTOS, EXPERIENCIAS Y SENTIMIENTOS",RECONOCE LOS N˙MEROS Y FIGURAS. SABE CONTAR DEL 1 AL 10 Y ES BUENO SIGUIENDO PATRONES DE SECUENCIA. Y EXCELENTE RECONOCIENDO LAS FIGURAS GEOMÈTRICAS.
2432,"OFRECE RAZONES SENCILLAS CON LAS QUE RECOMIENDA, A OTRO COMPAÒERO, EL LEER UN CUENTO O CANTAR UNA CANCIÛN QUE EL ELIGIÛ.","ENCUENTRA QUE ENTRE M·S ELEMENTOS TIENE UNA COLECCIÛN SE AVANZA EN LA SUCESIÛN NUMÈRICA. SU CONTEO ORAL LO REALIZA HASTA EL N˙MERO 10, SIN DIFICULTAD."
2433,PARTICIPA EN JUEGOS VERBALES COMO LOS CHISTES. EN LA LECTURA DE CUENTOS PUEDE NOMBRAR  A LOS PERSONAJES,RECONOCE Y REPRODUCE LAS FIGURAS GEOM…TRICAS. SEPARA LOS ELEMENTOS Y LOS ORGANIZA PARA FORMAR COLECCIONES
2434,"INVENTA HISTORIAS CON APOYO DE OTRAS PERSONAS. IDENTIFICA LA UTILIDAD DE DIVERSOS TEXTOS COMO REVISTAS, PERIÛDICO Y RECETA. EXPRESA DE MANERA ORAL Y M·S PRECISAS SUS IDEAS.","CON MEDIACIÛN DE UN FAMILIAR RESUELVEN COLECTIVAMENTE LA COMPRA- VENTA DE PRODUCTOS. COMPRENDE INDICACIONES VERBALES PARA UBICARSE EN EL ESPACIO UTILIZANDO PUNTOS DE REFERENCIA.
"
2435,"FORMULA PREGUNTAS SOBRE LO QUE DESEA O NECESITA SABER ACERCA DE ALGO O ALGUIEN, AL CONVERSAR Y ENTREVISTAR A FAMILIARES O A OTRAS PERSONAS.","COMPRENDE PROBLEMAS NUMÈRICOS QUE SE LE PLANTEAN, ESTIMA SUS RESULTADOS Y LOS REPRESENTA USANDO DIBUJOS, SÌMBOLOS Y/O N˙MEROS."
2436,"LOGRA COMUNICAR SUS IDEAS UTILIZANDO UN LENGUAJE COHERENTE.
","HACE USO CORRECTO DE LOS TÈRMINOS DE TEMPORALIDAD AYER, HOY Y MAÒANA PARA EXPRESAR ACCIONES QUE HA REALIZADO. 
"
2437,"COMENTA SENTIMIENTOS QUE LE PROVOCAN AL ESCUCHAR CUENTOS, MUESTRA INTERÈS POR INVESTIGAR Y POR LOS TEXTOS INFORMATIVOS. PARTICIPA EN LAS ACTIVIDADES QUE IMPLIQUEN LA CONSTRUCCIÛN DE TEXTOS INFORMATIVOS. PLANTEA CUESTIONAMIENTOS DE FORMA M·S PRECISA.",OBSERVA TARJETAS DEL N˙MERO DEL UNO AL  VEINTE Y LO ORDENA LLEVANDO UNA SECUENCIA AL TRABAJAR JUEGOS DE MESA DE IGUAL MANERA RELACIONA N˙MEROS O CANTIDAD MEDIANTE LA CORRESPONDENCIA UNO A UNO. IDENTIFICA LAS FIGURAS GEOMÈTRICAS .
2438,DESCRIBE PERSONAJES Y LUGARES QUE IMAGINA POR MEDIO DE IM¡GENES SE TRABAJA CONSTANTEMENTE EN  DICTADO REALIZA LECTURAS SU TRAZO ES LEGIBLE CON ESTRUCTURA Y ORDEN.   ,"REALIZA SUMAS  DE N⁄MEROS COMPUESTOS. LEE E  IDENTIFICA LAS CATEGORÕAS DEL SISTEMA DECIMAL (MIL, CIENTO, DECENA Y UNIDAD)."
2439,"IDENTIFICA SU NOMBRE,EXPRESA SUS PREFERENCIAS DE LO QUE LE GUSTA Y LO QUE NO,ES CAPAZ DE INVENTAR ALGUNAS HISTORIAS DE PERSONAJES Y PAISAJES QUE OBSERVA EN IM¡GENES.REQUIERE UN POCO DE APOYO PARA NARRAR ALGUNAS PARTES DE LA SECUENCIA DE UNA AN…CDOTA.","UBICA OBJETOS Y LUGARES CUYA UBICACI”N DESCONOCE, A TRAV…S DE GUÕA CONSTANTE. DETERMINA CANTIDADES AL CONTAR UNO A UNO EN DIFERENTES SITUACIONES DE JUEGO Y EN COLECCIONES. 
"
2440,"COMENTA NOTICIAS QUE ESCUCHA, CUENTA LEYENDAS, CREA HISTORIAS, INTENTA ESCRIBIR RECADOS, MENCIONA CARACTERÌSTICAS DE PERSONAJES ","ORGANIZA SUCESOS QUE OCURREN EN UN DÌA, UTILIZA PUNTOS DE REFERENCIA PARA UBICAR OBJETOS, "
2441,EXPLICA LO QUE LE GUSTÛ DE UN CUENTO. MUESTRA UN LENGUAJE CLARO.,LOGRA REALIZAR EL CONTEO EN UN RANGO DEL 1 AL 5 A TRAVÈS DE LA CORRESPONDENCIA UNO A UNO.
2442,IDENTIFICA SU NOMBRE EN JUEGOS Y OTRAS ACTIVIDADES QUE SE REALIZAN DIFERENCI·NDOLO DE OTROS NOMBRES ESCRITOS DE SUS COMPAÒEROS U OTROS MIEMBROS DE SU FAMILIA.                                                         ,"COMUNICA DE MANERA ESCRITA LOS N˙MEROS QUE CONOCE Y CUENTA EN UN RANGO QUE VA ENTRE EL 15  AL 20 E IDENTICIFAR EL VALOR DE LAS MONEDAS DE $1, $2, $5 Y  $10.                                                                                        "
2443,AL EXPONER SUS IDEAS DE MANERA INDIVIDUAL SUS DEM¡S COMPA—EROS LO HACE CADA VEZ CON MAYOR SEGURIDAD ESCRIBE SU NOMBRE CON DIVERSOS PROP”SITOS LO IDENTIFICA DE FORMA ESCRITA EXPRESA ALGUNAS OPINIONES SOBRE TEXTOS INFORMATIVOS QUE ESCUCHA LEER,"REALIZA CONTEO SOBRE COLECCIONES NO MAYORES A 10 ELEMENTOS, AL REALIZAR EL CONTEO UTILIZA DIVERSAS ESTRATEGIAS PARA SEPARAR LOS ELEMENTOS CONTADOS Y LOS QUE AUN FALTAN POR CONTAR REALIZA REPRESENTACIONES GRAFICAS DEL CONTEO QUE REALIZA CON COLECCION "
2444,"INTERPRETA Y TIENE BUENA RETENCIÛN AL ESCUCHAR UNA HISTORIA, LEE Y ESCRIBIRÈ ORACIONES SENCILLAS, ESTABLECE UNA BUENA CONVERSACIÛN CON COHERENCIA.",UTILIZA ESTRATEGIAS DE CONTEO COMO LA ORGANIZACIÛN DEL SEÒALAMIENTO Y DESPLAZAMIENTO DE OBJETOS; ORDENA COLECCIONES TOMANDO EN CUENTA SU ORDEN ASCENDENTE O DESCENDENTE. 
2445,"ESCUCHA Y MEMORIZA PEQUEN?OS POEMAS, FRAGMENTOS DE CANCIONES, ADIVINANZAS. REFLEXIONA Y TRATA DE COMPRENDER LO QUE DICEN. COMIENZA A IDENTIFICAR LETRAS EN PALABRAS QUE BUSCA ESCRIBIR. (COMUNICACIÛN INTERMITENTE).","RECONOCE EL USO DE LAS MONEDAS, SU VALOR Y REALIZA ALGUNAS OPERACIONES CON ELLAS. COMPRENDE PROBLEMAS NUME?RICOS SENCILLOS, ESTIMA SUS RESULTADOS. (COMUNICACIÛN INTERMITENTE)."
2446,"LOGRA DECIR RIMAS, CANCIONES, TRABALENGUAS, ADIVINANZAS Y OTROS JUEGOS DEL LENGUAJE, EXPONE INSTRUCCIONES CLARAS, PARA ORGANIZAR Y REALIZAR DIVERSAS ACTIVIDADES EN JUEGOS Y PARA ARMAR OBJETOS.","APLICA LA SERIE NUMÈRICA DE MANERA CONVENCIONAL, EXPLICAR SECUENCIAS RELACIONADAS CON EL TIEMPO EN SITUACIONES COTIDIANAS."
2447,"ESCRIBE SU NOMBRE CON GRAFÌAS. LOGRA SEGUIR INSTRUCCIONES Y SE INVOLUCRA EN LA PREPARACIÛN DE LA RECETA, AL CUESTIONARLA LOGRA  INTERPRETARLA. DESCRIBE CARACTERÌSTICAS QUE OBSERVA EN PERSONAS, LUGARES QUE OBSERVA O IMAGINA AL ESCUCHAR CUENTOS. ","  CUANTIFICA EN EL ORDEN ESTABLE, LA CARDINALIDAD Y  LA SERIE NUMÈRICA DEL 1 AL 10. RECONOCE ALGUNAS FORMAS GEOMÈTRICAS B·SICAS COMO EL CÌRCULO, CUADRADO Y TRI·NGULO Y REQUIERE APOYO PARA REPRODUCIR MODELOS Y CONFIGURACIONES."
2448,"EXPRESA CON EFICACIA Y MAYOR SEGURIDAD  SUS IDEAS ACERCA DE DIVERSOS TEMAS Y ATIENDE LO QUE SE DICE EN INTERACCIÛN CON OTRAS PERSONAS, ESCRIBE INSTRUCTIVOS, CARTAS, RECADOS Y SEÒALAMIENTOS UTILIZANDO RECURSOS PROPIOS.","UTILIZA EL TANGRAM PARA CONSTRUIR FORMAS VARIADAS, RECONOCIENDO LAS CARACTERÌSTICAS DE LAS FIGURAS QUE LO INTEGRAN Y DESCRIBIÈNDOLAS CON UN LENGUAJE FORMAL, POR EJEMPLO, EL N˙MERO DE LADOS O LADOS CURVOS Y RECTOS.
"
2449,"SE ENCUENTRA EN EL NIVEL ALFABÈTICO DE ESCRITURA. REALIZA ACTIVIDADES QUE LE PERMITEN ENRIQUECER SU ESCRITURA COMO VER VIDEOS EDUCATIVOS, TRABAJAR CON TARJETAS DE SILABAS. SIN AYUDA DICE RIMAS, CANCIONES, TRABALENGUAS, ADIVINANZAS Y OTROS JUEGOS DEL ","IDENTIFICA ALGUNAS RELACIONES DE EQUIVALENCIA ENTRE MONEDAS DE $1, $2, $5 Y $10 EN SITUACIONES DE JUEGO DE COMPRA Y VENTA. LOGRA UBICARSE SIN DIFICULTAD, E PUNTOS DE REFERENCIA QUE SE LE DA EN INDICACIONES, COMO POR EJEMPLO: PONTE  A LA IZQUIERDA DE "
2450,"REALIZA SIN NINGUNA DIFICULTAD LA ESCUCHA DE DIVERSOS TEXTOS CORTOS O LARGOS. SE INTERESA EN EXPRESAR DE MANERA ABIERTA DIVERSAS IDEAS QUE SURGEN DE ESOS TEXTOS, ASÕ COMO ESCRIBIR CON GRAFÕAS QUE CONOCE LO QUE DICEN ESAS LECTURAS QUE ESCUCHA.",EFECT⁄A CONTEO DE CONJUNTOS CON M¡S DE DIEZ ELEMENTOS Y RECONOCE ESAS CANTIDADES. LLEVA A CABO SIN DIFICULTAD GR¡FICAS SENCILLAS CON INFORMACI”N QUE SE LE BRINDA DE DISTINTOS OBJETOS. PUEDE IDENTIFICAR LA DIVERSIDAD DEL USO DE LOS N⁄MEROS.
2451,"DICE RELATOS DE LA TRADICIÛN ORAL QUE LE SON FAMILIARES. EXPLICA COMO ES, CÛMO OCURRIÛ ALGO, ORDENANDO LAS IDEAS PARA QUE LOS DEM·S COMPRENDAN. DICE RELATOS DE LA TRADICIÛN ORAL QUE LE SON FAMILIARES. DA INSTRUCCIONES PARA ORGANIZAR ACTIVIDADES","RELACIONA EL N˙MERO DE ELEMENTOS DE UNA COLECCIÛN CON LA SUCESIÛN NUMÈRICA ESCRITA, DEL 1 AL 30. MIDE OBJETOS O DISTANCIAS MEDIANTE EL USO DE UNIDADES NO CONVENCIONALES. UBICA OBJETOS Y LUGARES CUYA UBICACIÛN DESCONOCE, A TRAVÈS DE LA INTERPRETACIÛN "
2452,"NARRA ALGUN SUCESO DE SU VIDA COTIDIANA, CUENTOS CONCODISO, HISTORIAS QUE CREA EN SU IMAGINACION.","RECONOCE FROMAS BASICAS (CUADRADO, CIRCULO, TRIANGULO, RECTANGULO) EN OBJETOS QUE ENCUNTRA EN SU ENTORNO."
2453,"IDENTIFICA CUANDO ALGUIEN LE MOLESTA O LE HACE SENTIR MAL. CONVIVE, JUEGA Y TRABAJA CON DISTINTOS COMPAN?EROS.","COMUNICA DE MANERA ORAL Y ESCRITA LOS PRIMEROS 10 NU?MEROS EN DIVERSAS SITUACIONES Y DE DIFERENTES MANERAS, INCLUIDA LA CONVENCIONAL."
2454,ESCUCHA Y CUENTA RELATOS LITERARIOS QUE FORMAN PARTE DE LA TRADICIÛN ORAL,RECOOCE Y OMRE CARACTERISTICAS DE OJETOS FIGURAS Y CUERPOS GEOMÈTRICOS
2455,NO SE CUENTA CON LA INFORMACIÛN NECESARIA PARA EVALUAR.,NO SE CUENTA CON LA INFORMACI”N NECESARIA PARA EVALUAR.
2456,"ESCRIBE SUS NOMBRES CON DISTINTOS PROPOSITOS. DESCRIBE LO QUE OBSERVA A SU ALREDEDOR. EXPRESA SUS IDEAS. RELATA HISTORIAS YA EXISTENTES O DE SU INVENSI”N, ASÕ COMO RELATOS FAMILIARES. ",COMUNICA DE FORMA ORAL Y ESCRITA LOS N⁄MEROS QUE IDENTIFICA SUPERIORES A 10. IDENTIFICA FIGURAS GEOM…TRICAS QUE EST¡N A SU ALCANCE. UBICA OBJETOS A TRAV…S DE LA INTERPRETACI”N ESPACIAL.
2457,"LA COMUNICACIÛN SE DIO DE MANERA REGULAR, TUVE OPORTUNIDAD DE IDENTIFICAR MUCHOS AVANCES EN CUANTO A LA LECTOESCRITURA PODER IDENTIFICAR SILABAS FUE UN RETO QUE LOGRO SATISFACTORIAMENTE, ASÌ COMO EL DICTADO QUE DOMINO Y ENTENDIÛ.","HAY UN GRAN AVANCE EN CUANTO EL TEMA DE N˙MERO, Y AUNQUE TALVEZ POR EL HECHO DE HACERLO EN LÌNEA NOTABA UN POQUITO DE NERVIOSISMO PERO EN SUS EVIDENCIAS ES MUY CLARO EL AVANCE QUE SE MUESTRA, LOGRA IDENTIFICAR TODAS LAS FIGURAS."
2458,"UTILIZA MARCAS GR·FICAS O LETRAS AISLADAS CON DISTINTAS INTENCIONES, POR EJEMPLO, AL REPRESENTAR UNA HISTORIA DE MANERA ESCRITA, SE OBSERVA UNA ETAPA PRE SIL·BICA.                                                                                       ","ESTABLECE RELACIONES TEMPORALES AL EXPLICAR SOBRE SECUENCIAS DE ACTIVIDADES DE SU VIDA COTIDIANA O RECONSTRUIR PROCESOS EN LOS QUE HA PARTICIPADO, UN EXPERIMENTO, UN PASEO, UN DÌA ESCOLAR.                                                              "
2459,"NARRA SUS PROPIAS HISTORIAS, IDENTIFICA CUALES SON LOS ELEMENTOS DE UNA HISTORIA Y LOS TOMA EN CUENTA PARA CREAR LAS PROPIAS, ESCUCHA LAS OPINIONES DE LOS DEM¡S SOBRE SU HISTORIA Y LAS TOMA EN CUENTA","UBICA OBJETOS Y LUGARES CUYA UBIACI”N DESCONOCE, A TRAVES DE LA INTERPRETACI”N DE RELACIONES ESPACIALES Y PUNTOS DE REFERENCIA"
2460,LOGRA DESCRIBIR DETALLADAMENTE OBJETOS Y PAISAJES QUE UTILIZA EN SUS NARRACIONES.ESCRIBE E IDENTIFICA SU NOMBRE PARA DARLE DIVERSOS USOS.CREA TEXTOS USANDO ALGUNAS LETRAS CONVENCIONALES Y NARRA CON MUCHA SEGURIDAD Y COHERENCIA LO QUE ESCRIBIÛ.     ,"CUENTA DEL 1 AL 59 SIN AYUDA, IDENTIFICA LOS N˙MEROS HASTA EL NUMERO 30. CONOCE EL VALOR DE MONEDAS 1, 2, 5, 10 Y BILLETES DE 20 PESOS Y LOGRA HACER CUENTAS AL USARLOS EN LA TIENDA PARA OBTENER PRODUCTOS. PUEDE ARMAR ROMPECABEZAS DE POCAS PIEZAS(25)
"
2461,"EMPIEZA A UTILIZAR EN SU ESCRITURA GRAFIAS PARECIDAS A LAS LETRAS CONVENCIONALES, RELACIONA ALGUNAS LETRAS DE SU NOMBRE.","REALIZA CONTEO CON ORDEN ESTABLE HASTA EL 15 O MAS, AL CONTAR EXISTE CORRESPONDENCIA UNO A UNO, SE INICIA EN LA CARDINALIDAD."
2462,DA INSTRUCCIONES PARA ORGANIZAR Y REALIZAR DIVERSAS ACTIVIDADES EN JUEGOS Y PARA ARMAR OBEJTOS,"COMPARA DISTANCIAS MEDIANTE EL USO DE UN INSTRUMENTO, COMUNICA DE MANERA ORAL LOS N˙MEROS DEL 1 AL 10."
2463,"SE LE DIFICULTA  IDENTIFICAR Y ESCRIBIR ALGUNAS  CONSONANTES VISTAS EN CLASE . EXPONE INFORMACIÛN SOBRE UN TEMA QUE ES DE SU INTERES.	
	
	
","EN CIERTAS OCASIONES SE LE DIFICULTA IDENTIFICAR Y TRAZAR LOS N˙MEROS DEL 1 AL 20 CORRECTAMENTE, ASÌ COMO EL CONTEO DE OBJETOS EN COLECCIONES GRANDES.	
	
	
"
2464,"DESCRIBE DE MANERA DETALLADA Y COMPLETA LAS CARACTERÌSTICAS CUALITATIVAS Y CUANTITATIVAS DE PERSONAS Y LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS, FABULAS, LEYENDAS Y OTROS RELATOS LITERARIOS","IDENTIFICA Y CREA FORMAS GEOMÈTRICAS B·SICAS COMO; CIRCULO, CUADRADO, RECT·NGULO LAS RELACIONA CON OBJETOS COTIDIANOS Y SIGUE SECUENCIAS CON LAS MISMAS. LOGRA CONTEO ORAL ESTABLE DE N˙MEROS DEL 1 AL 15 Y LOS RECONOCE DE MANERA ESCRITA."
2465,"DESCRIBE DE MANERA DETALLADA Y COMPLETA LAS CARACTERÌSTICAS CUALITATIVAS Y CUANTITATIVAS DE PERSONAS Y LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS, FABULAS, LEYENDAS Y OTROS RELATOS LITERARIOS.
","CONSTRUYE SISTEMAS DE REFERENCIA RESPECTO A LA UBICACIÛN ESPACIAL ENTRE PUNTOS DE REFERENCIA (øDÛNDE EST·S?, øCÛMO LE HAGO PARA LLEGAR?)
"
2466,"OCASIONALMENTE EXPRESA SU OPINIÛN ACERCA DE UN TEXTO ESCRITO O LEÌDO EN VOZ ALTA, SE LE DIFICULTA CONTAR RELATOS, SI RECONOCE SU NOMBRE AUNQUE BATALLA PARA ESCRIBIRLO ASI COMO PALABRAS Y MENSAJES CORTOS, TRATA DE UBICARSE EN EL RENGLÛN DEL CUADERNO.","SE LE DIFICULTA RECONOCER CUERPOS GEOMÈTRICOS, SE CONFUNDE, SABE CONTAR HASTA EL 20 PERO NO RECONOCE LOS N˙MEROS EN COLECCIONES, SABE EL VALOR DE DIVERSAS MONEDAS. REALIZA A VECES COLECCIONES PARA RESOLVER PROBLEMAS DE CANTIDAD."
2467,"COMENTA ALGUNA SITUACION O VIVENCIA DE MANERA CLARA. INTERPRETA IMAGENES, EXPRESANDO LO QUE CREE QUE DICEN.IDENTIFICA LA INICIAL DE SU NOMBRE Y ESCRIBE SU NOMBRE DE MANERA AUTONOMA.","ES REFLEXIVA Y HABIL PARA RESOLVER PROBLEMAS, ANALIZA Y BUSCA EL PROCEDIMIENTO A LLEVAR A CABO PARA SOLUCIONARLO. IDENTIFICA EL VALOR DE LAS MONEDAS DE 1, 2 Y 5 PESOS.LOGRA EXPRESAR ACCIONES QUE LLEVA DURANTE EL DIA SIGUIENDO UN ORDEN CRONOLOGICO."
2468,"INTERPRETA Y EJECUTA LOS PASOS A SEGUIR EN UN JUEGO, RECETA, SEG˙N LAS INSTRUCCIONES ORALES O GR·FICAS. ESCUCHA ATENTAMENTE LA NARRACIÛN DE CUENTOS, ANÈCDOTAS, LEYENDAS Y FABULAS, DESPUÈS DICE DE QUÈ HA TRATADO ÈSTE. LEE Y ESCRIBE PALABRAS CORTAS. ",ORDENA COLECCIONES DE ACUERDO A SU NUMEROSIDAD (ASCENDENTE Y DESCENDENTE). UTILIZA LA DIRECCIONALIDAD PARA EXPLICAR UNA TRAYECTORIA. DISTINGUE CARACTERÌSTICAS ENTRE FORMAS GEOMÈTRICAS. DIBUJA FORMAS GEOMÈTRICAS Y LOGRA CREAR OBJETOS CON ÈSTAS MISMAS.
2469,"CON FACILIDAD LOGRA IDENTIFICAR LOS DISTINTOS PERSONAJES EN LOS CUENTOS.
EL ALUMNO ES BUENO CON LA DESCRIPCIÛN DE OBJETOS, EN CASA PUEDE APOYAR AMPLIANDO SU VOCABULARIO EN CUESTIÛN A LAS DESCRIPCIONES QUE REALIZA.
","HACER USO DE EXPRESIONES TEMPORALES COMO AYER, HOY, MAÒANA , CUANDO ESTE EN UNA CONVERSACIÛN Y CORREGIRLO EN CASO DE EQUIVOCARSE. APOYARLO A RELACIONAR LAS FIGURAS GEOMÈTRICAS CON SU ENTORNO, IDENTIFICANDO  EN DÛNDE LAS PUEDE OBSERVAR O ENCONTRAR."
2470,COMENTA DE MANERA ACTIVA SUS IDEAS SOBRE LO QUE ESCUCHA  FORMULANDO UNA OPINI”N. MUESTRA INTER…S Y FACILIDAD PARA RETENER EN SU MEMORIA POEMAS CORTOS Y TIENE SEGURIDAD PARA COMPARTIRLOS.MUESTRA CAPAZ DE ESTRUCTURAR Y EXPLICAR UNA SERIE DE INSTRUCCION,"IDENTIFICA LA CANTIDAD DE ELEMENTOS  EN UNA   COLECCI”N  Y LOGRA COMPARAR, IGUALAR Y CLASIFICAR COLECCIONES  ESTABLECIENDO RELACIONES  ENTRE LA CANTIDAD. IMPLEMENTA EL CONTEO ORAL PARA OBTENER UN RESULTADO EN DIVERSAS SITUACIONES MOSTRANDO LA CARDINA"
2471,"SE ENCUENTRA EN LA SEGUNDA ETAPA DE ESCRITURA, REALIZA TRAZOS FIRMES, UTILIZANDO LAS LETRAS DE SU NOMBRE PARA EXPRESAR LO QUE DESEA 
LOGRA TENER COMPRENSIÛN AL ESCUCHAR U OBSERVAR UN CUENTO, E INVENTA UN NUEVO FINAL.
","LOGRA CONTAR EN ORDEN ASCENDENTE HASTA 30 HACE USO DE ESTRATEGIAS DE SEPARACIÛN Y CORRESPONDENCIA UNO A UNO.
CONOCE EL VALOR DE LAS MONEDAS, ASÌ COMO CUERPOS GEOMÈTRICOS.
"
2472,"ESCRIBE SU NOMBRE COMPLETO, COPIA PALABRAS CORTAS, IDENTIFICA Y SABE ALGUNAS LETRAS DEL ABECEDARIO, LEE ORACIONES SENCILLAS.","CUENTA DE MANERA ASCENDENTE HASTA EL 100, COMPARA Y CLASIFICA COLECCIONES EN BASE A LA CANTIDAD DE ELEMENTOS, APRENDIO A UTILIZAR EL TANGRAM."
2473,"SOLICITA O SELECCIONA TEXTOS DE ACUERDO CON SUS INTERESES Y\O PROPOSITO LECTOR, LO USA EN ACTIVIDADES GUIADAS O POR INICIATIVA PROPIA ","COMPRENDE PROBLEMAS NUMERICOS QUE SE LE PLANTEAN, ESTIMA SUS RESULTADOS Y LOS REPRESENTA USANDO DIBUJOS, SIMBOLOS Y\O NUMEROS "
2474,IDENTIFICA LAS LETRAS DE SU NOMBRE EN OTRAS PALABRAS. RECONOCE LETRAS ENTRE LOS NUMEROS.  INVENTA Y NARRA UN CUENTO A PARTIR DE IMAGENES QUE SE LE PRESENTEN. LOGRA INTERPRETAR  Y UTILIZAR INSTRUCTIVOS.,RECONOCE FIGURAS A PARTIR DE  ATRIBUTOS GEOMETRICOS.  ARMA FIGURAS SIGUIENDO UN PATRON CON EL GEOPLANO. REALIZA ACCIONES SOBRE COLECCIONES PARA RESOLVER PROBLEMAS DE CANTIDAD QUE IMPLIQUEN SEPARAR ELEMENTOS. REALIZA CROQUIS CON PUNTOS DE REFERENCIA.
2475,"SABE SU NOMBRE Y LOGRA ESCRIBIRLO SIN APOYO, AL IGUAL QUE EL DE ALGUNOS COMPA—EROS E INTEGRANTES DE SU FAMILIA. 
INVENTA HISTORIAS A PARTIR DE ALGUNOS PERSONAJES Y PAISAJES NUEVOS Y PONIENDO EN PR¡CTICA TODA SU CREATIVIDAD.
","REALIZA CONTEO DE ELEMNTOS UNO A UNO, IDENTIFICA CU¡NTOS SON Y ESCRIBE LA CANTIDAD TOTAL. 
REPRODUCE CONFIGURACIONES SENCILLAS UTILIZANDO DIFERENTES FIGURAS GEOM…TRICAS.
"
2476,LOGRA ESCRIBIR SU NOMBRE EN SUS PERTENENCIAS UTILIZANDO TODAS LAS GRAFÌAS QUE LO COMPONEN. DESCRIBE DE FORMA CLARA PERSONAJES DE CUENTOS. LE AGRADAN LAS LECTURAS DE CUENTOS Y EXPRESA LO QUE M·S LE GUSTO.,LOGRA CONTAR COLECCIONES DE MANERA ASCENDENTE HASTA EL N˙MERO 60 O M·S. IDENTIFICA LAS GRAFÌAS NUMÈRICAS Y LOGRA ESCRIBIRLAS. RESUELVE PROBLEMAS MATEM·TICOS DE AGREGAR Y QUITAR ELEMENTOS.
2477,"EXPRESA IDEAS EN RELACIÛN A SU GUSTOS, LOS JUEGOS QUE PREFIERE, LAS COSAS QUE LE MOLESTAN. SE DESENVUELVE CON AUTONOMÌA, ASUME CON AGRADO PEQUEÒAS RESPONSABILIDADES.","HAY CONSOLIDACIÛN DE LOS PRINCIPIOS DE CONTEO LO QUE LE PERMITE EMPLEAR ESTE CONOCIMIENTO EN SITUACIONES DIVERSAS, REGISTRA CANTIDADES CON N˙MEROS. RELACIONA FIGURAS GEOMÈTRICAS  CON OBJETOS DEL ENTORNO."
2478,"IDENTIFICA ALGUNAS CARACTERISTICAS DE DE TEXTOS INFORMATIVOS, COMPARTE RELATOS DE LA TRADICION ORAL QUE LE SON FAMILIARES,  EXPRESA SUS IDEAS, PARTICIPA Y ESCUCHA LAS DE SUS COMPAÒEROS.","UBICA OBJETOS Y LUGARES CUYA UBICACION DESCONOCE, MEDIANTE LA INTERPRETACION DE  RELACIONES ESPACIALES Y PUNTOS DE REFERENCIA,  MIDE OBJETOS O DISTANCIAS MEDIANTE EL USO DE UNIDADES NO CONVENCIONALES."
2479,"CON AYUDA EXPRESA Y ORDENA SUS IDEAS ACERCA DE DIVERSOS TEMAS, COMO LO QUE ES, LO QUE OCURRIÛ O COMO FUNCIONA ALGO PARA QUE LOS DEM·S LO COMPRENDAN,  INTERPRETA INSTRUCTIVOS, CARTAS, RECADOS Y SEÒALAMIENTOS, COMENTA NOTICIAS QUE ESCUCHA","CON AYUDA COMUNICA DE MANERA ORAL Y ESCRITA LOS N˙MEROS EN DIVERSAS SITUACIONES Y DE DIFERENTES MANERAS, MIDE OBJETOS O DISTANCIAS MEDIANTE EL USO DE UNIDADES NO CONVENCIONALES Y COMPARA, IGUALA Y CLASIFICA COLECCIONES CON BASE EN LA CANTIDAD DE ELEM"
2480,"EXPRESA LO QUE SABE Y SUS VIVENCIAS, SUSTENTA SUS IDEAS, RESPETA TURNOS DE DIALOGO, ESCRIBE CORRECTAMENTE SU NOMBRE, IDENTIFICA ALGUNAS LETRAS Y SU SONIDO RELACION¡NDOLAS CON PALABRAS  ","RESUELVE SITUACIONES QUE LE IMPLICAN AGREGAR. O REPARTIR, IDENTIFICA LA CANTIDAD EN UNA COLECCI”N LLEVA ORDEN EN SU CONTEO Y SIGUE LA SECUENCIA NUM…RICA  "
2481,"INICIA TRAZANDO YA ALGUNAS LETRAS, VOCALES Y SU NOMBRE.",RECONOCE EL ORDEN DE LOS N˙MEROS EN FORMA ESCRITA. 
